Method_ID,Reference_sample_ID
clark2014pnasd_ta,clark2014pnasd_ta-ANU9000
clark2014pnasd_pb,clark2014pnasd_pb-ANU9000
clark2014pnasd_th,clark2014pnasd_th-ANU9000
clark2014pnasd_u,clark2014pnasd_u-ANU9000
clark2014pnasb_sio2,clark2014pnasb_sio2-ANU9000
clark2014pnasb_tio2,clark2014pnasb_tio2-ANU9000
clark2014pnasb_al2o3,clark2014pnasb_al2o3-ANU9000
clark2014pnasb_fe2o3,clark2014pnasb_fe2o3-ANU9000
clark2014pnasb_cao,clark2014pnasb_cao-ANU9000
clark2014pnasb_mgo,clark2014pnasb_mgo-ANU9000
clark2014pnasb_mno,clark2014pnasb_mno-ANU9000
clark2014pnasb_k2o,clark2014pnasb_k2o-ANU9000
clark2014pnasb_na2o,clark2014pnasb_na2o-ANU9000
clark2014pnasb_p2o5,clark2014pnasb_p2o5-ANU9000
clark2014pnasd_be,clark2014pnasd_be-ANU9000
clark2014pnasd_ag,clark2014pnasd_ag-ANU9000
clark2014pnasd_cd,clark2014pnasd_cd-ANU9000
clark2014pnasd_in,clark2014pnasd_in-ANU9000
clark2014pnasd_sb,clark2014pnasd_sb-ANU9000
clark2014pnasd_bi,clark2014pnasd_bi-ANU9000
clark2014pnasc_p2o5,clark2014pnasc_p2o5-ANU9000
collerson2007sciencea_sio2,collerson2007sciencea_sio2-BCR-2
collerson2007sciencea_tio2,collerson2007sciencea_tio2-BCR-2
collerson2007sciencea_al2o3,collerson2007sciencea_al2o3-BCR-2
collerson2007sciencea_feo,collerson2007sciencea_feo-BCR-2
collerson2007sciencea_cao,collerson2007sciencea_cao-BCR-2
collerson2007sciencea_mgo,collerson2007sciencea_mgo-BCR-2
collerson2007sciencea_mno,collerson2007sciencea_mno-BCR-2
collerson2007sciencea_k2o,collerson2007sciencea_k2o-BCR-2
collerson2007sciencea_na2o,collerson2007sciencea_na2o-BCR-2
collerson2007sciencea_p2o5,collerson2007sciencea_p2o5-BCR-2
collerson2007scienceb_li,collerson2007scienceb_li-BHVO-1
collerson2007scienceb_li,collerson2007scienceb_li-BCR-21
collerson2007scienceb_li,collerson2007scienceb_li-W-2
collerson2007scienceb_be,collerson2007scienceb_be-BHVO-1
collerson2007scienceb_be,collerson2007scienceb_be-BCR-21
collerson2007scienceb_be,collerson2007scienceb_be-W-2
collerson2007scienceb_sc,collerson2007scienceb_sc-BHVO-1
collerson2007scienceb_sc,collerson2007scienceb_sc-BCR-21
collerson2007scienceb_sc,collerson2007scienceb_sc-W-2
collerson2007scienceb_v,collerson2007scienceb_v-BHVO-1
collerson2007scienceb_v,collerson2007scienceb_v-BCR-21
collerson2007scienceb_v,collerson2007scienceb_v-W-2
collerson2007scienceb_cr,collerson2007scienceb_cr-BHVO-1
collerson2007scienceb_cr,collerson2007scienceb_cr-BCR-21
collerson2007scienceb_cr,collerson2007scienceb_cr-W-2
collerson2007scienceb_co,collerson2007scienceb_co-BHVO-1
collerson2007scienceb_co,collerson2007scienceb_co-BCR-21
collerson2007scienceb_co,collerson2007scienceb_co-W-2
collerson2007scienceb_ni,collerson2007scienceb_ni-BHVO-1
collerson2007scienceb_ni,collerson2007scienceb_ni-BCR-21
collerson2007scienceb_ni,collerson2007scienceb_ni-W-2
collerson2007scienceb_cu,collerson2007scienceb_cu-BHVO-1
collerson2007scienceb_cu,collerson2007scienceb_cu-BCR-21
collerson2007scienceb_cu,collerson2007scienceb_cu-W-2
collerson2007scienceb_zn,collerson2007scienceb_zn-BHVO-1
collerson2007scienceb_zn,collerson2007scienceb_zn-BCR-21
collerson2007scienceb_zn,collerson2007scienceb_zn-W-2
collerson2007scienceb_ga,collerson2007scienceb_ga-BHVO-1
collerson2007scienceb_ga,collerson2007scienceb_ga-BCR-21
collerson2007scienceb_ga,collerson2007scienceb_ga-W-2
collerson2007scienceb_rb,collerson2007scienceb_rb-BHVO-1
collerson2007scienceb_rb,collerson2007scienceb_rb-BCR-21
collerson2007scienceb_rb,collerson2007scienceb_rb-W-2
collerson2007scienceb_sr,collerson2007scienceb_sr-BHVO-1
collerson2007scienceb_sr,collerson2007scienceb_sr-BCR-21
collerson2007scienceb_sr,collerson2007scienceb_sr-W-2
collerson2007scienceb_y,collerson2007scienceb_y-BHVO-1
collerson2007scienceb_y,collerson2007scienceb_y-BCR-21
collerson2007scienceb_y,collerson2007scienceb_y-W-2
collerson2007scienceb_zr,collerson2007scienceb_zr-BHVO-1
