Source_ID,Sample_ID,scope
charleux2014,charleux2014_Eiao-193,artefact
charleux2014,charleux2014_Eiao-194,sample
charleux2014,charleux2014_Eiao-194,artefact
charleux2014,charleux2014_Eiao-195,sample
charleux2014,charleux2014_Eiao-195,artefact
charleux2014,charleux2014_Eiao-196,sample
charleux2014,charleux2014_Eiao-196,artefact
charleux2014,charleux2014_Eiao-199,sample
charleux2014,charleux2014_Eiao-199,artefact
charleux2014,charleux2014_Eiao-201,sample
charleux2014,charleux2014_Eiao-201,artefact
charleux2014,charleux2014_Eiao-202,sample
charleux2014,charleux2014_Eiao-202,artefact
charleux2014,charleux2014_Eiao-208,sample
charleux2014,charleux2014_Eiao-208,artefact
charleux2014,charleux2014_Eiao-209,sample
charleux2014,charleux2014_Eiao-209,artefact
charleux2014,charleux2014_Eiao-21,sample
charleux2014,charleux2014_Eiao-21,artefact
charleux2014,charleux2014_Eiao-210,sample
charleux2014,charleux2014_Eiao-210,artefact
charleux2014,charleux2014_Eiao-212,sample
charleux2014,charleux2014_Eiao-212,artefact
charleux2014,charleux2014_Eiao-214,sample
charleux2014,charleux2014_Eiao-214,artefact
charleux2014,charleux2014_Eiao-215,sample
charleux2014,charleux2014_Eiao-215,artefact
charleux2014,charleux2014_Eiao-223,sample
charleux2014,charleux2014_Eiao-223,artefact
charleux2014,charleux2014_Eiao-23,sample
charleux2014,charleux2014_Eiao-23,artefact
charleux2014,charleux2014_Eiao-4,sample
charleux2014,charleux2014_Eiao-4,artefact
charleux2014,charleux2014_Eiao-40,sample
charleux2014,charleux2014_Eiao-40,artefact
charleux2014,charleux2014_Eiao-44,sample
charleux2014,charleux2014_Eiao-44,artefact
charleux2014,charleux2014_Eiao-45,sample
charleux2014,charleux2014_Eiao-45,artefact
charleux2014,charleux2014_Eiao-46,sample
charleux2014,charleux2014_Eiao-46,artefact
charleux2014,charleux2014_Eiao-47,sample
charleux2014,charleux2014_Eiao-47,artefact
charleux2014,charleux2014_Eiao-49,sample
charleux2014,charleux2014_Eiao-49,artefact
charleux2014,charleux2014_Eiao-50,sample
charleux2014,charleux2014_Eiao-50,artefact
charleux2014,charleux2014_Eiao-51,sample
charleux2014,charleux2014_Eiao-51,artefact
charleux2014,charleux2014_Eiao-53a,sample
charleux2014,charleux2014_Eiao-53a,artefact
charleux2014,charleux2014_Eiao-53b,sample
charleux2014,charleux2014_Eiao-53b,artefact
charleux2014,charleux2014_Eiao-55,sample
charleux2014,charleux2014_Eiao-55,artefact
charleux2014,charleux2014_Eiao-58,sample
charleux2014,charleux2014_Eiao-58,artefact
charleux2014,charleux2014_Eiao-6,sample
charleux2014,charleux2014_Eiao-6,artefact
charleux2014,charleux2014_Eiao-61,sample
charleux2014,charleux2014_Eiao-61,artefact
charleux2014,charleux2014_Eiao-62,sample
charleux2014,charleux2014_Eiao-62,artefact
charleux2014,charleux2014_Eiao-65,sample
charleux2014,charleux2014_Eiao-65,artefact
charleux2014,charleux2014_Eiao-66,sample
charleux2014,charleux2014_Eiao-66,artefact
charleux2014,charleux2014_Eiao-67,sample
charleux2014,charleux2014_Eiao-67,artefact
charleux2014,charleux2014_Eiao-69,sample
charleux2014,charleux2014_Eiao-69,artefact
charleux2014,charleux2014_Eiao-7,sample
charleux2014,charleux2014_Eiao-7,artefact
charleux2014,charleux2014_Eiao-73,sample
charleux2014,charleux2014_Eiao-73,artefact
charleux2014,charleux2014_Eiao-74,sample
charleux2014,charleux2014_Eiao-74,artefact
charleux2014,charleux2014_Eiao-75,sample
charleux2014,charleux2014_Eiao-75,artefact
charleux2014,charleux2014_Eiao-77,sample
charleux2014,charleux2014_Eiao-77,artefact
charleux2014,charleux2014_Eiao-78,sample
charleux2014,charleux2014_Eiao-78,artefact
charleux2014,charleux2014_Eiao-80,sample
charleux2014,charleux2014_Eiao-80,artefact
charleux2014,charleux2014_Eiao-82a,sample
charleux2014,charleux2014_Eiao-82a,artefact
charleux2014,charleux2014_Eiao-82b,sample
charleux2014,charleux2014_Eiao-82b,artefact
charleux2014,charleux2014_Eiao-83a,sample
charleux2014,charleux2014_Eiao-83a,artefact
charleux2014,charleux2014_Eiao-83b,sample
charleux2014,charleux2014_Eiao-83b,artefact
charleux2014,charleux2014_Eiao-84,sample
charleux2014,charleux2014_Eiao-84,artefact
charleux2014,charleux2014_Eiao-87,sample
charleux2014,charleux2014_Eiao-87,artefact
charleux2014,charleux2014_Eiao-88,sample
charleux2014,charleux2014_Eiao-88,artefact
charleux2014,charleux2014_Eiao-9,sample
charleux2014,charleux2014_Eiao-9,artefact
charleux2014,charleux2014_Eiao-91,sample
charleux2014,charleux2014_Eiao-91,artefact
charleux2014,charleux2014_Eiao-92,sample
charleux2014,charleux2014_Eiao-92,artefact
charleux2014,charleux2014_Eiao-93,sample
charleux2014,charleux2014_Eiao-93,artefact
charleux2014,charleux2014_Eiao-94,sample
charleux2014,charleux2014_Eiao-94,artefact
charleux2014,charleux2014_Eiao-95,sample
charleux2014,charleux2014_Eiao-95,artefact
charleux2014,charleux2014_Eiao-97,sample
charleux2014,charleux2014_Eiao-97,artefact
charleux2014,charleux2014_Eiao-98,sample
charleux2014,charleux2014_Eiao-98,artefact
charleux2014,charleux2014_Eiao-13,sample
charleux2014,charleux2014_Eiao-13,artefact
charleux2014,charleux2014_Eiao-134,sample
