ID,Entry_Type,address,author,booktitle,collaborator,copyright,doi,edition,editor,eprint,eprinttype,googlebooks,ids,institution,isbn,issn,journal,jstor,keywords,langid,month,note,number,pages,pmcid,publisher,school,series,shorttitle,title,type,urldate,volume,year
putzi2015,article,,"Putzi, Jeffrey L. and DiVito, Nathaniel J. and Sholin, Carl E. and Mills, Peter R. and Lundblad, Steven and Camara, Bobby and Dye, Thomas S.",,,,10.1016/j.jasrep.2015.03.006,,,,,,,,,2352-409X,Journal of Archaeological Science: Reports,,"Common pooled resource,EDXRF,Exchange,Hawai'i,Social complexity,Volcanic glass",english,June,,,341--352,,,,,,Alternative Models of Volcanic Glass Quarrying and Exchange in {{Hawai}}'i,,2020-09-27,2,2015
quintus2015,phdthesis,"Auckland, New Zealand","Quintus, Seth",,,,,,,,,,,,,,,,,,,,,,,,University of Auckland,,,Dynamics of Agricultural Development in Prehistoric {{Samoa}}: {{The}} Case of {{Ofu Island}},,,,2015
quintus2016,article,,"Quintus, Seth and Clark, Jeffrey T.",,,,10.1080/00438243.2016.1195576,,,,,,,,,0043-8243,World Archaeology,,"Habitus,landscape archaeology,Polynesia,Samoa,spatial logic",,May,,3,395--410,,Routledge,,,Space and Structure in {{Polynesia}},Space and Structure in {{Polynesia}}: {{Instantiated}} Spatial Logic in {{American S\=amoa}},,2023-11-02,48,2016
quintus2017,article,,"Quintus, Seth and Day, Stephanie S. and Smith, Nathan J.",,,,10.1017/aap.2017.13,,,,,,,,,2326-3768,Advances in Archaeological Practice,,,english,November,,4,351--364,,Cambridge University Press,,,,The {{Efficacy}} and {{Analytical Importance}} of {{Manual Feature Extraction Using Lidar Datasets}},,2023-11-02,5,2017
quintus2022,article,,"Quintus, Seth and Mills, Peter and Konter, Jasper and Day, Stephanie and Gilreath, Darr and Kekuewa Lincoln, Noa and Lundblad, Steven and Vonderhaar, Denys and Yoo, Kyungsoo",,,,10.1007/s12520-022-01571-w,,,,,,,,,1866-9565,Archaeol Anthropol Sci,,"Collective action,Common pool resources,EDXRF,Geochemistry,ICPMS,Polynesia",english,May,,6,103,,,,,,Trace Element and {{Pb}} Isotope Analyses Highlight Decentralized Inter-Island Exchange in {{American S\=amoa}} ({{Polynesia}}),,2023-11-02,14,2022
reepmeyer2008,article,,"Reepmeyer, Christian",,,,10.1002/j.1834-4453.2009.tb00038.x,,,,,,reepmeyer2008a,,,1834-4453,Archaeology in Oceania,,"EDXA-SEM,Laser ablation ICP-MS,Obsidian,Provenance studies,Western Remote Oceania",english,,,3,120--127,,,,,,"Characterising Volcanic Glass Sources in the {{Banks Islands}}, {{Vanuatu}}",,2019-10-24,43,2008
reepmeyer2009,phdthesis,,"Reepmeyer, Christian",,,,,,,,,,,,,,,,,australian,,,,,,,Australian National University,,,The Obsidian Sources and Distribution Systems Emanating from {{Gaua}} and {{Vanua Lava}} in the {{Banks Islands}} of {{Vanuatu}},,2019-10-24,,2009
reepmeyer2010,article,,"Reepmeyer, C. and Clark, G.",,,,10.1111/j.1475-4754.2009.00465.x,,,,,,,,,1475-4754,Archaeometry,,"FIJI,GEOCHEMISTRY,OBSIDIAN,POST-LAPITA,SOURCING",english,,,1,1--18,,,,,Post-{{Colonization Interaction Between Vanuatu}} and {{Fiji Reconsidered}},"Post-{{Colonization Interaction Between Vanuatu}} and {{Fiji Reconsidered}}: {{The Re-Analysis}} of {{Obsidian}} from {{Lakeba Island}}, {{Fiji}}",,2019-08-27,52,2010
reepmeyer2010a,article,,"Reepmeyer, Christian and Spriggs, Matthew and Bedford, Stuart and Ambrose, Wallace",,,,10.1353/asi.2010.0004,,,,,,reepmeyer2010b,,,1535-8283,Asian Perspectives,,,english,,,1,205--225,,,,,,"Provenance and {{Technology}} of {{Lithic Artifacts}} from the {{Teouma Lapita Site}}, {{Vanuatu}}",,2020-02-23,49,2010
reepmeyer2011,article,,"Reepmeyer, Christian and O'connor, Sue and Brockwell, Sally",,,,10.1002/j.1834-4453.2011.tb00102.x,,,,,,,,,1834-4453,Archaeology in Oceania,,"East Timor,Island Southeast Asia,LA-ICPMS,obsidian,Pleistocene",english,,,2,85--90,,,,,,Long-Term Obsidian Use at the {{Jerimalai}} Rock Shelter in {{East Timor}},,2020-09-14,46,2011
