ID,Entry_Type,address,author,booktitle,collaborator,copyright,doi,edition,editor,eprint,eprinttype,googlebooks,ids,institution,isbn,issn,journal,jstor,keywords,langid,month,note,number,pages,pmcid,publisher,school,series,shorttitle,title,type,urldate,volume,year
terrell2011a,article,,"Terrell, John Edward",,,,10.3158/0071-4739-42.1.251,,,,,,,,,,Fieldiana Anthropology,,,,,,,35--68,,,,,,Archaeological {{Surveys}} ({{Exploring Prehistory}} on the {{Sepik Coast}} of {{Papua New Guinea}}),,,42,2011
teviotdale1932,article,,"Teviotdale, David",,,,,,,20702411,jstor,,teviotdale1932a,,,0032-4000,Journal of the Polynesian Society,20702411,,,,,2(162),81--120,,,,,,The Material Culture of the {{Moa-Hunters}} in {{Murihiku}},,2019-09-26,41,1932
toenjes1986,techreport,Honolulu,"Toenjes, J.H.",,,,,,,,,,,"Department of Anthropology, BPBM",,,,,,,,,,,,,,,,"Archaeological Monitoring in the {{Kuakini Highway}} Realignment, {{Kona}}, {{Hawaii}}",,,,1986
torrence1992,article,,"Torrence, Robin and Specht, Jim and Fullagar, Richard and Bird, R.",,,,10.3853/j.0812-7387.15.1992.86,,,,,,,,,0812-7387,"Records of the Australian Museum, Supplement",,,english,,,,83--98,,,,,,"From {{Pleistocene}} to {{Present}}: {{Obsidian}} Sources in West {{New Britain}}, {{Papua New Guinea}}",,,15,1992
torrence2002,article,,"Torrence, Robin",,,,10.1017/S0003598X00091213,,,,,,,,,"0003-598X, 1745-1744",Antiquity,,"landscape archaeology,Lapita pottery,obsidian,Pacific archaeology,Papua New Guinea",english,September,,293,766--776,,Cambridge University Press,,,,"Cultural Landscapes on {{Garua Island}}, {{Papua New Guinea}}",,2021-01-22,76,2002
torrence2007,inbook,New York,"Torrence, Robin and Doelman, Trudy",Living {{Under}} the {{Shadow}} : {{Cultural Impacts}} of {{Volcanic Eruptions}},"Grattan, John and Torrence, Robin",,10.4324/9781315425177,,,,,,,,978-1-315-42517-7,,,,,english,,,,42--66,,Routledge,,,,"Chaos and {{Selection}} in {{Catastrophic Environments}}: {{Willaumez Peninsula}}, {{Papua New Guinea}}",,2021-01-22,,2007
tuggle1980,article,,"Tuggle, H. David and {Tomonari-Tuggle}, M. J.",,,,10.2307/529593,,,529593,jstor,,,,,0093-4690,Journal of Field Archaeology,529593,,,,,3,297--312,,,,,,"Prehistoric {{Agriculture}} in {{Kohala}}, {{Hawaii}}",,2018-02-21,7,1980
turner1994,article,,"Turner, Marianne and Bonica, Dante",,,,,,,,,,,,,,New Zealand Journal of Archaeology,,,,,,,5--32,,,,,,"Following the {{Flake Trail}}: {{Adze}} Production on the {{Coromandel East Coast}}, {{New Zealand}}",,,16,1994
tykot1996,article,,"Tykot, Robert H. and Chia, Stephen",,,,10.1557/PROC-462-175,,,,,,,,,"0272-9172, 1946-4274",Materials Research Society Symposium Proceedings,,,english,,,,175--180,,,,,,Long-{{Distance Obsidian Trade}} in {{Indonesia}},,2020-02-23,462,1996
valentin2013,article,,"Valentin, Frederique and Clark, Geoffrey",,,,,,,,,,,,,1179-4712,Journal of Pacific Archaeology,,"Ancestral Polynesian Society,cremation,Lapita,mortuary practice,Pacific Islands",english,January,,1,1--14,,,,,,"Early {{Polynesian}} Mortuary Behaviour at the {{Talasiu}} Site, {{Kingdom}} of {{Tonga}}",,2019-10-24,4,2013
walter1990,phdthesis,,"Walter, Richard",,,,,,,,,,,,,,,,,,,,,,,,University of Auckland,,,The {{Southern Cook Islands}} in {{Eastern Polynesian}} Prehistory,,,,1990
walter1996a,article,,"Walter, Richard and Sheppard, Peter J.",,,,10.1002/j.1834-4453.1996.tb00344.x,,,,,,,,,1834-4453,Archaeology in Oceania,,,english,April,,1,33--39,,,,,The {{Ngati Tiare Adze Cache}},The {{Ngati Tiare Adze Cache}}: {{Further}} Evidence of Prehistoric Contact between {{West Polynesia}} and the {{Southern Cook Islands}},,2018-01-30,31,1996
walter1998,book,Auckland,"Walter, Richard",,,,,New Zealand Archaeological Association Monograph 22,,,,,,,978-0-9597915-5-6,,,,,english,,,22,,,New Zealand Archaeological Association,,,Anai'o,Anai'o: {{The Archaeology}} of a {{Fourteenth Century Polynesian Community}} in the {{Cook Islands}},,,,1998
walter2018,article,,"Walter, Richard and Brooks, Emma and Greig, Karen and Hurford, Jessie",,,,,,,,,,,,,1179-4712,Journal of Pacific Archaeology,,,english,August,,2,59--82,,,,,,"Excavations at {{Kahukura}}, {{Murihiku}}",,2019-08-24,9,2018
ward1973,mastersthesis,,"Ward, Graeme Keith",,,,,,,,,,,,,,,,,english,,,,,,,University of Otago,,Obsidian and {{New Zealand}} Archaeology,Obsidian and {{New Zealand}} Archaeology : A Paradigm for Sourcing Artefact Assemblages Using {{X-ray}} Fluorescence Spectrography,,2020-10-20,,1973
weisler1985,article,,"Weisler, Marshall I. and Kirch, Patrick V.",,,,,,,,,,,,,,New Zealand Journal of Archaeology,,,,,,,129--158,,,,,,"The Structure of Settlement Space in a {{Polynesian}} Chiefdom: {{Kawela}}, {{Molokai}}, {{Hawaiian Islands}}",,,7,1985
weisler1990,article,,"Weisler, Marshall I.",,,,,,,,,,,,,,New Zealand Journal of Archaeology,,,newzealand,,,,29--50,,,,,,"Technological, Petrographic, and Geochemical Analysis of the {{Kapohaku}} Adze Quarry, {{Lana}}'i, {{Hawai}}'ian {{Islands}}",,2018-01-25,12,1990
weisler1990a,article,,"Weisler, Marshall",,,,,,,40386837,jstor,,,,,0728-4896,Archaeology in Oceania,40386837,,,,,1,16--23,,"[Wiley, Oceania Publications, University of Sydney]",,,Sources and {{Sourcing}} of {{Volcanic Glass}} in {{Hawai}}'i,Sources and {{Sourcing}} of {{Volcanic Glass}} in {{Hawai}}'i: {{Implications}} for {{Exchange Studies}},,2022-02-27,25,1990
weisler1993,book,Berkeley,"Weisler, M. I.",,,,,,,,,,,,,,,,,,,,,,,University of California,,,,Long-Distance Interaction in Prehistoric {{Polynesia}}: {{Three}} Case Studies,,,,1993
weisler1993b,incollection,,"Weisler, Marshall I.","The {{To}}'aga {{Site}}: {{Three Millennia}} of {{Polynesian Occupation}} in the {{Manu}}'a {{Islands}}, {{American Samoa}}",,,,,"Kirch, Patrick Vinton and Hunt, Terry L.",,,,,,978-1-882744-01-5,,,,History / General,english,January,,,167--186,,"Archaeological Research Facility, University of California, Berkeley",,,,Chemical Characterization and Provenance of {{Manu}}'a Adze Material Using a Non-Destructive {{X-ray}} Fluorescence Technique,,,,1993
weisler1994,article,,"Weisler, Marshall I.",,,,10.1179/jfa.1994.21.1.83,,,,,,,,,0093-4690,Journal of Field Archaeology,,,,January,,1,83--102,,,,,The {{Settlement}} of {{Marginal Polynesia}},The {{Settlement}} of {{Marginal Polynesia}}: {{New Evidence}} from {{Henderson Island}},,2017-11-24,21,1994
weisler1994a,article,,"Weisler, Marshall I. and Kirch, Patrick V. and Endicott, Julie M.",,,,,,,20706571,jstor,,,,,0032-4000,Journal of the Polynesian Society,20706571,,,,,2,203--216,,,,,{{THE MATA}}'{{ARE BASALT SOURCE}},The {{Mata}}'are Basalt Source: {{Implications}} for Prehistoric Interaction Studies in the {{Cook Islands}},,2018-01-25,103,1994
weisler1995,article,,"Weisler, M. I. and Woodhead, J. D.",,,,,,,7892194,pmid,,,,,0027-8424,Proceedings of the National Academy of Sciences of the United States of America,,"Geography,Humans,Isotopes,Lead,Pacific Islands,Paleontology,Polynesia",english,March,,6,1881--1885,PMC42386,,,,,Basalt {{Pb}} Isotope Analysis and the Prehistoric Settlement of {{Polynesia}},,,92,1995
weisler1995a,article,,"Weisler, Marshall I.",,,,10.1111/j.1095-8312.1995.tb01099.x,,,,,,,,,,Biological Journal of the Linnean Society,,,,,,1-2,377--404,,,,,,Henderson {{Island}} Prehistory: {{Colonization}} and Extinction on a Remote {{Polynesian}} Island,,,56,1995
weisler1996,article,,"Weisler, M. I. and Kirch, P. V.",,,,,,,8643640,pmid,,,,,0027-8424,Proceedings of the National Academy of Sciences of the United States of America,,"Ancient,Animals,Archaeology,Commerce,History,Hominidae,Humans,Minerals,Polynesia,Samoa,Ships,Silicates,Spectrometry,Technology,Technology Transfer,Travel,X-Ray Emission",english,February,,4,1381--1385,PMC39946,,,,,Interisland and Interarchipelago Transfer of Stone Tools in Prehistoric {{Polynesia}},,,93,1996
weisler1998,article,,"Weisler, Marshall I.",,,,10.1086/204768,,,,,,,,,0011-3204,Current Anthropology,,,,August,,4,521--532,,,,,,Hard {{Evidence}} for {{Prehistoric Interaction}} in {{Polynesia}},,2018-01-01,39,1998
weisler2004,article,,"Weisler, Marshall I.",,,,,,,,,,,,,,New Zealand Journal of Archaeology,,,,,,,113--120,,,,,,"A {{Stone Tool Basalt Source}} on '{{Ata}}, {{Southern Tonga}}",,,25,2004
weisler2011,article,,"Weisler, Marshall",,,,10.1080/00438243.2011.586197,,,,,,,,,0043-8243,World Archaeology,,"Adze,Hawaiian Islands,Moloka'i,quarries,radiocarbon chronology,U-series dates",,June,,2,298--317,,,,,,A Quarried Landscape in the {{Hawaiian Islands}},,2018-05-14,43,2011
weisler2013,article,,"Weisler, Marshall and Collins, Sara L. and Feng, Yuexing and Zhao, Jian-xin and Shipton, Ceri and Wei, Xun",,,,,,,,,,,,,1179-4712,Journal of Pacific Archaeology,,"adze technology,basalt adze quarries,geochemistry,Hawaiian Islands,sourcing",english,August,,2,35--57,,,,,"A {{New Major Adze Quarry}} from {{N\=an\=akuli}}, {{O}}`ahu","A {{New Major Adze Quarry}} from {{N\=an\=akuli}}, {{O}}`ahu: {{Implications}} for {{Interaction Studies}} in {{Hawai}}`i",,2019-10-29,4,2013
weisler2015,article,,"Weisler, Marshall I. and Mendes, Walter P. and Hua, Quan",,,,,,,,,,,,,1179-4712,Journal of Pacific Archaeology,,"adze quarry,adze technology,Aleurites moluccana,AMS dating,early Hawaiian settlement,ICP-OES geochemistry",english,February,,1,37--57,,,,,,"A {{Prehistoric Quarry}}/{{Habitation Site}} on {{Moloka}}`i and a {{Discussion}} of an {{Anomalous Early Date}} on the {{Polynesian Introduced Candlenut}} (Kukui, {{Aleurites}} Moluccana)",,2019-10-29,6,2015
weisler2016,article,,"Weisler, Marshall I. and Bolhar, Robert and Charleux, Michel and Faith, J. Tyler and Feng, Yue-Xing and St. Pierre, Emma",,,,10.1002/arco.5088,,,,,,,,,"1834-4453, 0003-8121",Archaeology in Oceania,,,english,March,,2,158--167,,,,,,Determining the Geochemical Variability of Fine-Grained Basalt Sources/Quarries for Facilitating Prehistoric Interaction Studies in {{Polynesia}},,2018-01-24,51,2016
weisler2016a,article,,"Weisler, Marshall I. and Bolhar, Robert and Ma, Jinlong and Pierre, Emma St and Sheppard, Peter and Walter, Richard K. and Feng, Yuexing and Zhao, Jian-xin and Kirch, Patrick V.",,,,10.1073/pnas.1608130113,,,27382159,pmid,,,,,"0027-8424, 1091-6490",Proceedings of the National Academy of Sciences,,"adzes,exchange,geochemical sourcing,Polynesian archaeology,voyaging",english,July,,29,8150--8155,,,,,,Cook {{Island}} Artifact Geochemistry Demonstrates Spatial and Temporal Extent of Pre-{{European}} Interarchipelago Voyaging in {{East Polynesia}},,2018-01-05,113,2016
weisler2025,article,,"Weisler, Marshall I. and Bolhar, Robert and Chazine, Jean-Michel and St Pierre, Emma",,,\copyright{} 2026 University of Sydney.,10.1002/arco.70016,,,,,,,,,1834-4453,Archaeology in Oceania,,"adze classification,adzes,Archipel des Tuamotu,collections legales des musees,herminettes,ICP-MS geochemistry,ICP-MS geochimie,interaction post-colonisation,museum legacy collections,post-colonisation interaction,Tuamotu Archipelago,typologie des herminettes",english,,,1,67--90,,,,,,Geochemistry of {{Stone Tools Reveals}} the {{Crossroads}} of {{East Polynesia}},,2026-01-21,61,2025
winterhoff2003,mastersthesis,,"Winterhoff, Ernest",,,,,,,,,,,,,,,,,,,,,,,,University of Oregon,,,"Ma'a a {{Malaeloa}}: {{A Geochemical Investigation}} of a {{New Basalt Quarry Source}} in {{Tutuila}}, {{American Samoa}}",,,,2003
winterhoff2007,article,,"Winterhoff, E. Quent and Wozniak, Joan A. and Ayres, William S. and Lash, Erik",,,,,,,40387382,jstor,,,,,0003-8121,Archaeology in Oceania,40387382,,,,,2,65--71,,,,,,"Intra-{{Island Source Variability}} on {{Tutuila}}, {{American Samoa}} and {{Prehistoric Basalt Adze Exchange}} in {{Western Polynesia-Island Melanesia}}",,2018-01-30,42,2007
winterhoff2007a,phdthesis,,"Winterhoff, Ernest",,,,,,,,,,,,,,,,,,,,,,,,University of Oregon,,,The {{Political Economy}} of {{Ancient Samoan Basalt Adze Production}} and {{Linkages}} to {{Social Status}},,,,2007
yondri2005,phdthesis,Jakarta,"Yondri, Lufti",,,,,,,,,,,,,,,,,,,,,,,,Fakultas Ilmu Budaya Universitas,,,"Kubur {{Prasejarah Temuan}} Dari {{Gua Pawon}}, {{Desa Gunung Masigit}}, {{Kabupaten Bandung-Jawa Barat}}; {{Sumbangan Data Bagi Kehidupan Prasejarah}} Di Tepian {{Danau Bandung Purba}}",Thesis,,,2005
