Method ID,Parameter,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,Technique,Instrument,Laboratory,Analyst,Analysis date,Analysis comment,Reference sample name,Reference sample measured value,Reference uncertainty,Reference uncertainty unit,Number of measurements,Detection limit,Unit,Blank value,Unit,Parameter,Reference sample name,Value used for fractionation correction,Reference sample accepted value,Citation,Reference sample name,Reference sample accepted value,Citation
charleux2014_B,Pb,Whole rock,Sample surface,,,,ED-XRF,Innov-X Delta,University of Auckland,"McAlister, Andrew",2013,,BHVO-1,2,,,,,,,,,,,,,,,
charleux2014_C,SiO2,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,50,,,,,,,,,,,,,,,
charleux2014_C,TiO2,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,2.7,,,,,,,,,,,,,,,
charleux2014_C,Al2O3,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,14,,,,,,,,,,,,,,,
charleux2014_C,Fe2O3,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,12.7,,,,,,,,,,,,,,,
charleux2014_C,CaO,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,11.1,,,,,,,,,,,,,,,
charleux2014_C,MgO,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,7,,,,,,,,,,,,,,,
charleux2014_C,MnO,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,0.16,,,,,,,,,,,,,,,
charleux2014_C,K2O,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,0.6,,,,,,,,,,,,,,,
charleux2014_C,Na2O,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,2,,,,,,,,,,,,,,,
charleux2014_C,V,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,370,,,,,,,,,,,,,,,
charleux2014_C,Ni,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,86,,,,,,,,,,,,,,,
charleux2014_C,Cu,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,144,,,,,,,,,,,,,,,
charleux2014_C,Zn,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,80,,,,,,,,,,,,,,,
charleux2014_C,Rb,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,11,,,,,,,,,,,,,,,
charleux2014_C,Sr,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,398,,,,,,,,,,,,,,,
charleux2014_C,Y,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,27,,,,,,,,,,,,,,,
charleux2014_C,Zr,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,191,,,,,,,,,,,,,,,
charleux2014_C,Nb,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,20,,,,,,,,,,,,,,,
charleux2014_C,Ba,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,136,,,,,,,,,,,,,,,
charleux2014_C,Pb,Whole rock,Sample surface,,,,ED-XRF,ThermoNoran QuanX ,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2013,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-1,0,,,,,,,,,,,,,,,
