Source ID 1,Sample ID,Method ID,Note,SiO2 %,TiO2 %,Al2O3 %,Fe2O3 %,FeO %,FeOT %,CaO %,MgO %,MnO %,K2O %,Na2O %,P2O5 %,Li ppm,Be ppm,B ppm,C ppm,CO2 ppm,F ppm,Na ppm,Mg ppm,Al ppm,P ppm,S ppm,Cl ppm,K ppm,Ca ppm,Sc ppm,Ti ppm,V ppm,Cr ppm,Mn ppm,Fe ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,Ge ppm,As ppm,Se ppm,Br ppm,Rb ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Ru ppm,Rh ppm,Pd ppm,Ag ppm,Cd ppm,In ppm,Sn ppm,Sb ppm,Te ppm,I ppm,Cs ppm,Ba ppm,La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Hf ppm,Ta ppm,W ppm,Re ppm,Os ppm,Ir ppm,Pt ppm,Au ppm,Hg ppm,Tl ppm,Pb ppm,Bi ppm,Th ppm,U ppm,Nd143_Nd144,Nd143_Nd144 SD value,Nd143_Nd144 SD sigma,Sr87_Sr86,Sr87_Sr86 SD value,Sr87_Sr86 SD sigma,Pb206_Pb204,Pb206_Pb204 SD value,Pb206_Pb204 SD sigma,Pb207_Pb204,Pb207_Pb204 SD value,Pb207_Pb204 SD sigma,Pb208_Pb204,Pb208_Pb204 SD value,Pb208_Pb204 SD sigma,Pb207_Pb206,Pb207_Pb206 SD value,Pb207_Pb206 SD sigma,Pb208_Pb206,Pb208_Pb206 SD value,Pb208_Pb206 SD sigma,Age Ma,Age SD sigma 
charleux2014,charleux2014_Eiao-120,charleux2014_A,,,4.8,,14.9,,,8.8,,0.12,1,,,,,,,,,,,,,,,,,,,,80,,,,76,28,101,,,,,,26,598.2,,311,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-121,charleux2014_A,,,3.5,,10.5,,,7.7,,0.08,0.9,,,,,,,,,,,,,,,,,,,,<LOD,,,,14,17,61,,,,,,30,586,,318,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-122,charleux2014_A,,,4.6,,11.3,,,8.9,,0.11,1,,,,,,,,,,,,,,,,,,,,42,,,,82,11,75,,,,,,20,619.5,,320,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-123,charleux2014_A,,,4.2,,11.7,,,8.6,,0.09,0.8,,,,,,,,,,,,,,,,,,,,14,,,,83,23,90,,,,,,26,577.8,,310,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-124,charleux2014_A,,,4.3,,11.8,,,9.1,,0.11,1,,,,,,,,,,,,,,,,,,,,<LOD,,,,73,<LOD,80,,,,,,21,619.5,,316,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-125,charleux2014_A,,,4.2,,12.1,,,8.4,,0.1,0.9,,,,,,,,,,,,,,,,,,,,<LOD,,,,59,21,90,,,,,,21,610.4,,314,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-126,charleux2014_A,,,3.8,,11,,,7.9,,0.11,1,,,,,,,,,,,,,,,,,,,,<LOD,,,,57,24,77,,,,,,24,594.1,,315,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-127,charleux2014_A,,,4.2,,11.8,,,9.9,,0.12,1.1,,,,,,,,,,,,,,,,,,,,9,,,,55,17,83,,,,,,22,611.4,,314,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-129,charleux2014_A,,,4.4,,11,,,8.9,,0.11,1,,,,,,,,,,,,,,,,,,,,<LOD,,,,59,<LOD,74,,,,,,24,606.3,,332,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-130,charleux2014_A,,,3.8,,11.1,,,7.6,,0.09,1.2,,,,,,,,,,,,,,,,,,,,<LOD,,,,97,50,77,,,,,,24,602.2,,319,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-131,charleux2014_A,,,3.8,,12.5,,,7.8,,0.11,1.1,,,,,,,,,,,,,,,,,,,,<LOD,,,,105,32,91,,,,,,25,599.2,,312,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-133,charleux2014_A,,,4,,10.9,,,8.7,,0.1,1.1,,,,,,,,,,,,,,,,,,,,<LOD,,,,85,25,74,,,,,,25,637.8,,320,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-136,charleux2014_A,,,4.6,,11.1,,,8.1,,0.1,1,,,,,,,,,,,,,,,,,,,,50,,,,107,18,67,,,,,,18,624.6,,315,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-137,charleux2014_A,,,4.3,,11.5,,,8.5,,0.1,1.2,,,,,,,,,,,,,,,,,,,,<LOD,,,,57,24,92,,,,,,28,606.3,,307,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-139,charleux2014_A,,,3.9,,11.5,,,8.8,,0.11,1.1,,,,,,,,,,,,,,,,,,,,13,,,,126,29,88,,,,,,20,589,,295,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-140,charleux2014_A,,,3.4,,10.6,,,7.4,,0.1,0.7,,,,,,,,,,,,,,,,,,,,<LOD,,,,59,19,69,,,,,,21,600.2,,302,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-142,charleux2014_A,,,3.8,,11.1,,,7.8,,0.1,1.1,,,,,,,,,,,,,,,,,,,,13,,,,68,24,80,,,,,,25,603.3,,321,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-145,charleux2014_A,,,4.2,,11.2,,,7.8,,0.12,1.1,,,,,,,,,,,,,,,,,,,,142,,,,83,22,78,,,,,,28,609.4,,307,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-146,charleux2014_A,,,5.1,,14.6,,,8,,0.16,1.1,,,,,,,,,,,,,,,,,,,,155,,,,133,28,130,,,,,,28,592.1,,303,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-148,charleux2014_A,,,4.7,,14.7,,,10.3,,0.17,1.2,,,,,,,,,,,,,,,,,,,,185,,,,86,17,110,,,,,,18,609.4,,299,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-15,charleux2014_A,,,4.7,,10.6,,,8.1,,0.08,1.1,,,,,,,,,,,,,,,,,,,,45,,,,47,27,66,,,,,,22,631.7,,317,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-153,charleux2014_A,,,4.3,,14.6,,,10.2,,0.15,1.1,,,,,,,,,,,,,,,,,,,,95,,,,100,48,109,,,,,,20,619.5,,305,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-155,charleux2014_A,,,4.9,,14.4,,,8.8,,0.15,1.1,,,,,,,,,,,,,,,,,,,,183,,,,89,26,114,,,,,,23,596.1,,306,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-156,charleux2014_A,,,4.7,,12.5,,,8.9,,0.13,1.1,,,,,,,,,,,,,,,,,,,,126,,,,79,19,88,,,,,,22,608.3,,320,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-157,charleux2014_A,,,5,,13,,,8.2,,0.12,1.2,,,,,,,,,,,,,,,,,,,,34,,,,116,29,103,,,,,,26,603.3,,297,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-158,charleux2014_A,,,4.2,,14.3,,,10.1,,0.15,1.1,,,,,,,,,,,,,,,,,,,,111,,,,57,40,103,,,,,,20,594.1,,299,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-159,charleux2014_A,,,4.5,,15.9,,,9.5,,0.19,1.1,,,,,,,,,,,,,,,,,,,,265,,,,113,8,130,,,,,,35,583.9,,312,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-16,charleux2014_A,,,4.2,,11.5,,,8.4,,0.11,1.3,,,,,,,,,,,,,,,,,,,,<LOD,,,,62,22,79,,,,,,25,592.1,,335,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-160,charleux2014_A,,,4.8,,14.1,,,9,,0.16,1,,,,,,,,,,,,,,,,,,,,65,,,,81,30,121,,,,,,24,590,,304,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-161,charleux2014_A,,,4,,12,,,7.3,,0.11,0.7,,,,,,,,,,,,,,,,,,,,<LOD,,,,54,16,61,,,,,,23,585,,303,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-162,charleux2014_A,,,4.5,,14.8,,,10,,0.16,0.9,,,,,,,,,,,,,,,,,,,,39,,,,97,18,121,,,,,,21,576.8,,308,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-163,charleux2014_A,,,5.1,,14.6,,,9.8,,0.18,1.1,,,,,,,,,,,,,,,,,,,,99,,,,87,26,106,,,,,,23,576.8,,316,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-164,charleux2014_A,,,4.5,,14.8,,,9.3,,0.13,1,,,,,,,,,,,,,,,,,,,,99,,,,67,10,113,,,,,,24,583.9,,297,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-165,charleux2014_A,,,4.1,,10.8,,,8.5,,0.11,1.2,,,,,,,,,,,,,,,,,,,,<LOD,,,,40,<LOD,59,,,,,,28,591.1,,319,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-168,charleux2014_A,,,4.4,,14.2,,,9.8,,0.17,1.3,,,,,,,,,,,,,,,,,,,,23,,,,79,24,109,,,,,,19,605.3,,312,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-169,charleux2014_A,,,4.7,,15,,,9.9,,0.15,1,,,,,,,,,,,,,,,,,,,,118,,,,71,35,163,,,,,,25,585,,305,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-17,charleux2014_A,,,4.6,,12.4,,,8.4,,0.11,1,,,,,,,,,,,,,,,,,,,,70,,,,82,7,73,,,,,,21,604.3,,309,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
