Primary analytical & method-specific metadata,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
METHOD IDENTIFICATION,,ANALYTICAL PROCEDURE,,,,,,ANALYTICAL ACCURACY & REPRODUCIBILITY ,,,,,DETECTION LIMIT,,TOTAL PROCEDURAL BLANK,,FRACTIONATION CORRECTION (ONLY FOR ISOTOPIC ANALYSES),,,,,NORMALIZATION,,
"Method code
[citation code][ _ ][A], [B] ; etc.",PARAMETER,Technique,Instrument,Laboratory,Analyst,Analysis date,Analysis comment,Reference sample name,Reference sample measured value,Reference uncertainty,Reference uncertainty unit,Number of measurements,Detection limit,Unit,Blank value,Unit,Parameter,Reference sample name,Value used for fractionation correction,Reference sample accepted value,Citation,Reference sample name,Reference sample accepted value,Citation
must match codes in TAB 2 COL AM,must match parameters in TAB 3 COL AN-ES,see drop-down list,,,,,,,,standard deviation,,leave blank if 1,,e.g. ppm,,e.g. ppm,e.g. Nd146_Nd144,e.g. La Jolla,e.g. 0.7219,i.e. from literature,if known,if applicable,,e.g. USGS
Clark-2014-PNAS_C,Y,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Zr,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Nb,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Mo,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Ag,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Cd,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,In,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Sn,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Sb,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Cs,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Ba,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,La,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
