Primary analytical & method-specific metadata,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
METHOD IDENTIFICATION,,ANALYTICAL PROCEDURE,,,,,,ANALYTICAL ACCURACY & REPRODUCIBILITY ,,,,,DETECTION LIMIT,,TOTAL PROCEDURAL BLANK,,FRACTIONATION CORRECTION (ONLY FOR ISOTOPIC ANALYSES),,,,,NORMALIZATION,,
"Method code
[citation code][ _ ][A], [B] ; etc.",PARAMETER,Technique,Instrument,Laboratory,Analyst,Analysis date,Analysis comment,Reference sample name,Reference sample measured value,Reference uncertainty,Reference uncertainty unit,Number of measurements,Detection limit,Unit,Blank value,Unit,Parameter,Reference sample name,Value used for fractionation correction,Reference sample accepted value,Citation,Reference sample name,Reference sample accepted value,Citation
must match codes in TAB 2 COL AM,must match parameters in TAB 3 COL AN-ES,see drop-down list,,,,,,,,standard deviation,,leave blank if 1,,e.g. ppm,,e.g. ppm,e.g. Nd146_Nd144,e.g. La Jolla,e.g. 0.7219,i.e. from literature,if known,if applicable,,e.g. USGS
Hermann-2017-JASR_A,Co,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,37.6710467243132,2.99488194460824,%,10.0,0.714857211191636,ppm,0.501154501605806,ppm,,,,,,,,
Hermann-2017-JASR_A,Ni  ,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,90.3411220605596,5.63258754553604,%,10.0,0.781241524760461,ppm,0.70667756410299,ppm,,,,,,,,
Hermann-2017-JASR_A,Y   ,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,33.6804781191643,3.4267870482462,%,10.0,0.116493301392541,ppm,0.849529998133579,ppm,,,,,,,,
Hermann-2017-JASR_A,Zr  ,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,150.148849720509,3.67016887287889,%,10.0,0.165533471606775,ppm,3.44002329545941,ppm,,,,,,,,
Hermann-2017-JASR_A,Nb  ,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,9.55256512678449,4.46551592698257,%,10.0,0.601492130832866,ppm,0.639157753736306,ppm,,,,,,,,
Hermann-2017-JASR_A,La,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,27.0,1.43630328435987,%,10.0,0.454481616664598,ppm,0.181565413868642,ppm,,,,,,,,
Hermann-2017-JASR_A,Ce,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,61.0,2.55380017396438,%,10.0,2.45732368279041,ppm,1.1234711002376,ppm,,,,,,,,
Hermann-2017-JASR_A,Nd,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,33.4,2.10480380727165,%,10.0,0.392224821258514,ppm,0.352774731214945,ppm,,,,,,,,
Hermann-2017-JASR_A,Sm,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,8.8,4.67399600474089,%,10.0,0.294483367460601,ppm,0.301684041002796,ppm,,,,,,,,
Hermann-2017-JASR_A,Eu,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,2.2,3.99566251590322,%,10.0,0.107605449847184,ppm,0.0784929345276946,ppm,,,,,,,,
Hermann-2017-JASR_A,Gd,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,7.2,7.8014663830245,%,10.0,0.373901440426738,ppm,0.140832274751236,ppm,,,,,,,,
Hermann-2017-JASR_A,Dy,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,6.0,2.97959678408457,%,10.0,0.093079159394387,ppm,0.196492075475892,ppm,,,,,,,,
Hermann-2017-JASR_A,Er,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,3.02,21.1773121780125,%,10.0,0.425275939491468,ppm,0.226965648778688,ppm,,,,,,,,
Hermann-2017-JASR_A,Yb,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,2.48,1.12378233189883,%,10.0,0.0464086756617857,ppm,0.0378003603561137,ppm,,,,,,,,
Hermann-2017-JASR_A,Th,ICP:AES,Horiba Jobin Yvon Ultima 2,PSO/IUEM Plouzané,"Liorzou, Céline","2011, 2012",,WSE,3.0,15.0282496620534,%,10.0,1.08579416324159,ppm,0.171960062833516,ppm,,,,,,,,
Hermann-2017-JASR_B,Sr87_Sr86,TIMS,Thermo Scientific Triton Mass Spectrometer,PSO/IUEM Plouzané,"Chauvel, Catherine",2012.0,,NBS 987 ,0.710248,8e-06,2σ,3.0,,,,,,,,,,,,
Hermann-2017-JASR_C,Pb208_Pb204,MC-ICP-MS,Nu Plasma Multicollector,ENS Lyon,"Chauvel, Catherine",2012.0,,NBS 981,36.701,0.007,2σ,14.0,,,,,,,,,,,,
Hermann-2017-JASR_C,Pb207_Pb204,MC-ICP-MS,Nu Plasma Multicollector,ENS Lyon,"Chauvel, Catherine",2012.0,,NBS 981,15.4924,0.002,2σ,14.0,,,,,,,,,,,,
Hermann-2017-JASR_C,Pb206_Pb204,MC-ICP-MS,Nu Plasma Multicollector,ENS Lyon,"Chauvel, Catherine",2012.0,,NBS 981,16.9415,0.0052,2σ,14.0,,,,,,,,,,,,
Hermann-2017-JASR_D,Age,AR_AR,GV5400,LSCE,"Guillou, Hervé",2013.0,,,,,,,,,,,,,,,,ACs,1.193 Ma,"Nomade et al., 2005"
Kahn-2008-NZJA_A,Na2O,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,2.6,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,MgO,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,7.7,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Al2O3,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,13.5,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,SiO2,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,48.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,K2O,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,0.6,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,CaO,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,11.9,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,TiO2,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,2.9,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,V,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,339.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,MnO,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,1668.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Fe,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,8.5,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Ni,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,99.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Cu,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,109.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Zn,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,95.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Rb,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,12.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Sr,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,366.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Y,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,25.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Zr,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,175.0,,,3.0,,,,,,,,,,,,
Kahn-2008-NZJA_A,Nb,ED-XRF,ThermoNoran QuanX EC EDXRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,19.0,,,3.0,,,,,,,,,,,,
Kahn-2013-JAS_A,SiO2,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,48.5645789473684,0.1765,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,TiO2,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,2.655,0.489,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Al2O3,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,13.2981052631579,0.492,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,CaO,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,10.9490526315789,2.6085,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,MgO,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,7.24363157894737,0.0275,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,MnO,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,1522.27136842105,0.337000000000001,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,K2O,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,0.530684210526316,0.071,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Na2O,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,2.024375,32.899,%,8.0,,,,,,,,,,,,
Kahn-2013-JAS_A,V,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,346.980157894737,75.894,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Fe,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,9.01210526315789,0.8495,%,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Ni,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,87.7732631578947,5.772,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Cu,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,119.348578947368,16.0355,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Zn,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,96.1512105263158,8.119,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Rb,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,12.6332105263158,3.341,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Sr,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,380.678105263158,8.14400000000001,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Y,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,26.5361578947368,2.0035,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Zr,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,186.724526315789,9.73899999999999,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_A,Nb,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),BHVO-2,18.1821052631579,3.52,ppm,19.0,,,,,,,,,,,,
Kahn-2013-JAS_B,SiO2,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,TiO2,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Al2O3,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,FeO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,CaO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,MgO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,MnO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,K2O,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Na2O,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,P2O5,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Sc,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,V,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Cr,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Co,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Ni,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Zn,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Rb,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Sr,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Y,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Zr,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Nb,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Ba,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Pb,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,Th,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kahn-2013-JAS_B,U,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,SiO2,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,TiO2,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Al2O3,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,CaO,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,MgO,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,MnO,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,K2O,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Na2O,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,V,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Fe,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Ni,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Cu,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Zn,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Rb,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Sr,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Y,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Zr,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_A,Nb,ED-XRF,ThermoNoran QuanX ED-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,SiO2,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,TiO2,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,Al2O3,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,FeO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,CaO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,MgO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,MnO,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,K2O,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
Kirch-2012-PNAS_B,Na2O,WD-XRF,Siemens SRS 303 AS WD-XRF spectrometer,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,,,,,,,,,,,,,,,,,,
