Sample Information & archaeological provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE IDENTIFICATION,,,,,INDIVIDUAL SAMPLE CONDITION AND PREPARATION,,,,,PETROGRAPHIC DESCRIPTION,,LOCATION,,,,,,,ARTEFACT IDENTIFICATION,,,,,ARCHAEOLOGICAL COLLECTION,,,,,SITE IDENTIFICATION,,,,,,
Citation code 1 [Data],Sample name,Pofatu ID,Sample category,Sample comment,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,Petrography,Comments,Location 1,Location 2,Location 3,Location comment,Latitude,Longitude,Elevation,Citation code 2 [Artefact],Artefact name,Artefact category,Artefact description,Artefact comments,Collector,Fieldwork,Fieldwork date,Collection storage location,Collection comment,Citation 3 [Site],Site name,Site code,Site context,Site comments,Stratigraphic position,Stratigraphy comments
must match TAB 1 COL H,,RESERVED TO ADMIN,see drop-down list,,see drop-down list,see drop-down list,"e.g. crushed in agate mill, sieved at 500 microns",e.g. whole rock samples were dissolved in 0.1M HF + 5.0M HNO3,,,,Archipelago,Island name,Locality,,,,,must match TAB 1 COL K,,see drop-down list,see drop-down list,,,Survey OR Excavation,,,,must match TAB 1 COL N,,,see drop-down list,,"Level, Square, etc.",
Charleux-2014-JPA,Eiao-161,Charleux-2014-JPA_Eiao-161,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-162,Charleux-2014-JPA_Eiao-162,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-163,Charleux-2014-JPA_Eiao-163,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-164,Charleux-2014-JPA_Eiao-164,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-165,Charleux-2014-JPA_Eiao-165,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-168,Charleux-2014-JPA_Eiao-168,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-169,Charleux-2014-JPA_Eiao-169,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-17,Charleux-2014-JPA_Eiao-17,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-170,Charleux-2014-JPA_Eiao-170,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-172,Charleux-2014-JPA_Eiao-172,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
Charleux-2014-JPA,Eiao-176,Charleux-2014-JPA_Eiao-176,SOURCE,Artefact used as source,Whole rock,Sample surface,,,,,,MARQUESAS,EIAO,NA,,-8.0,-140.7,,Charleux-2014-JPA,NA,NA,NA,,M. Charleux,Survey,"2010, 2011",SCP Tahiti (French Polynesia),,Charleux-2014-JPA,NA,,WORKSHOP,,SURFACE,
