SAMPLE IDENTIFICATION,,,,,LOCATION,,,,,,,PETROGRAPHIC DESCRIPTION,,ARTEFACT IDENTIFICATION,,,,,ARCHAEOLOGICAL COLLECTION,,,,,SITE IDENTIFICATION,,,,,,,INDIVIDUAL SAMPLE CONDITION AND PREPARATION,,,,,METHOD CODE,PARAMETER,SiO2,TiO2,Al2O3,Fe2O3,FeO,FeOT,CaO,MgO,MnO,K2O,Na2O,P2O5,Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143_Nd144,Nd143_Nd144 SD value,Nd143_Nd144 SD sigma,Sr87_Sr86,Sr87_Sr86 SD value,Sr87_Sr86 SD sigma,Pb206_Pb204,Pb206_Pb204 SD value,Pb206_Pb204 SD sigma,Pb207_Pb204,Pb207_Pb204 SD value,Pb207_Pb204 SD sigma,Pb208_Pb204,Pb208_Pb204 SD value,Pb208_Pb204 SD sigma,Pb207_Pb206,Pb207_Pb206 SD value,Pb207_Pb206 SD sigma,Pb208_Pb206,Pb208_Pb206 SD value,Pb208_Pb206 SD sigma,Age,Age SD sigma
Citation code 1 [Data],Sample name,Pofatu ID,Sample category,Sample comment,Location 1,Location 2,Location 3,Location comment,Latitude,Longitude,Elevation,Petrography,Comments,Citation code 2 [Artefact],Artefact name,Artefact category,Artefact description,Artefact comments,Collector,Fieldwork,Fieldwork date,Collection storage location,Collection comment,Citation 3 [Site],Site name,Site code,Site context,Site comments,Stratigraphic position,Stratigraphy comments,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,"[citation code][ _ ][A], [B], etc.",UNIT,%,%,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,Ma,
must match TAB 1 COL I,,RESERVED TO ADMIN,see drop-down list,,Archipelago,Island name,Locality,,,,,,,must match TAB 1 COL L,,see drop-down list,see drop-down list,,,Survey OR Excavation,,,,must match TAB 1 COL O,,,see drop-down list,,"Level, Square, etc.",,see drop-down list,see drop-down list,"e.g. crushed in agate mill, sieved at 500 microns",e.g. whole rock samples were dissolved in 0.1M HF + 5.0M HNO3,,must match TAB 5 COL A,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,2σ
Clark-2014-PNAS,235.0,Clark-2014-PNAS_235(b),ARTEFACT,,TONGA,TONGATAPU,LAPAHA,NUKULANGI,-21.179897,-175.112419,<10,,,Clark-2014-PNAS,T25-POWDER-CLARK,COBBLE (KILIKILI),NA,,G CLARK,SURVEY,,,,Clark-2014-PNAS,LAPAHA,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,0.387528171782824,,,,,,,,,,,,81116.9215563629,41.9711701288689,4258.65326417229,324.506062061415,25.1797930419062,1492.29504991377,,,25.6767946659422,30.1977570062228,54.2436590267042,12.6530732981915,3.08731534946479,1.41201384995796,,,4.36623055030797,214.336186128911,11.9178176095854,20.7181417314836,0.231428427211315,1.35158352723469,,,,0.144011611715347,< 0.15,0.0466791978479175,0.353828481071528,2.62458111860407,,,0.180339816871806,108.517052343507,1.29288084477622,3.41881913521207,0.573783257276858,3.24501195505713,1.31073524441494,0.487567414563496,1.63935128003356,0.274997178446081,1.84905331860162,0.484464770965677,1.34998923277191,0.190736208425764,1.45371170367177,0.222392755481185,2.1531054576915,0.0156248911155703,,,,,,,,,1.40210490260544,< 0.03,0.115371592899494,0.104447698970248,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,237.0,Clark-2014-PNAS_237(b),SOURCE,,TONGA,TONGATAPU,NIUAFO'OU,,-15.6,-175.64,,,See table S2 in Clark-2014-PNAS,Clark-2014-PNAS,T26-CLARK,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,NIUAFO'OU,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,0.787436961327617,,,,,,,,,,,,84960.2181360899,53.1358487392964,12528.7512555414,329.173224826757,320.638050033665,1805.51641746908,,,45.3486589697327,89.8175001234606,65.1070034170721,15.3946240182033,3.7525021538601,0.194076939886712,,,2.76954393413442,161.477788783071,31.479200667856,91.7872393796164,3.57336837759003,0.631363319569944,,,,0.189161389598869,0.149492881823032,0.0552453800994445,0.951231230778818,2.58707638094381,,,0.0805984725830312,34.2377214582912,4.61313343250838,12.5189992144683,2.09296310474661,10.9114224172421,3.53118622127253,1.1842532387992,4.79659099117609,0.78519915676001,5.24120542934919,1.20786732516705,3.2841752834012,0.509588619984454,3.49435937402186,0.505377460482106,2.93667215747474,0.0854870921986436,,,,,,,,,0.740173731057024,< 0.03,0.259032162337,0.133127782836732,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,238.0,Clark-2014-PNAS_238(b),SOURCE,,TONGA,TONGATAPU,NIUAFO'OU,,-15.6,-175.64,,,,Clark-2014-PNAS,T27-POWDER-CLARK,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,NIUAFO'OU,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,0.691615972735963,,,,,,,,,,,,84511.3191027899,52.0299222287035,11413.378485114,315.509052274923,344.712340963622,1772.1692418024,,,41.8911168926442,63.0745331848779,65.3451426845975,14.7782554577165,4.05490944449303,0.213849968256934,,,2.21078296882483,154.283949261084,28.7956053181276,82.5373971194889,3.28394023012519,0.766474160450481,,,,0.101047515852705,0.152506339357237,0.0640076156245716,0.690936988923476,2.51275172389052,,,0.110778723963747,31.4262727222163,3.98359846101417,10.8351221406832,1.80776443928201,9.64015542979406,3.26122805497085,1.24960723014262,3.99949123655881,0.752100309353821,5.17980569504634,1.05242594481098,3.15519129007136,0.474013583237993,3.03419483423093,0.467419948655864,3.34074851404495,0.0893713188625571,,,,,,,,,0.592436390872545,< 0.03,0.287705533925146,0.0818777898861115,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,241.0,Clark-2014-PNAS_241(b),ARTEFACT,,TONGA,TONGATAPU,LAPAHA,LAKAFUE QUARRY AREA,-21.179897,-175.112419,<10,,,Clark-2014-PNAS,T28-CLARK,FLAKE,NA,,G CLARK,SURVEY,,,,Clark-2014-PNAS,LAPAHA,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,3.00186547415771,,,,,,,,,,,,,16.2508448478857,15450.3667999945,210.070600094638,34.2081610695934,1285.21825695212,,,53.7462195692592,9.07582014464602,137.702164727137,27.9424121507071,2.48613342556431,1.31255138161016,,,40.3495761736141,657.007727981906,45.8127285598952,423.538414351508,52.1562718328299,3.44997015448812,,,,0.315113772804832,< 0.15,0.133067239400667,3.33476546543897,2.86152968308207,,,0.264674157079938,324.864400475639,42.0495921440913,94.2127867397281,12.5038818414836,56.7598728316489,13.199746452259,4.01301515576317,12.5132967806552,1.7645917011519,10.6248874323915,1.86979272181255,4.47496766971158,0.590273918501738,3.5696947302149,0.49760353315155,11.240046276447,1.36755310717752,,,,,,,,,2.50565809663502,0.0365379503105985,3.56801146824622,1.18183838838393,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,242.0,Clark-2014-PNAS_242(b),ARTEFACT,,TONGA,TONGATAPU,LAPAHA,J20,-21.179897,-175.112419,<10,,,Clark-2014-PNAS,T3-POWDER-CLARK,ADZE FLAKE,NA,,G CLARK,EXCAVATION,,,,Clark-2014-PNAS,LAPAHA,,,,"TP4, 20CM",,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,0.558791451271089,,,,,,,,,,,,73177.5301421831,42.7262917377964,6606.73902285178,334.498722655682,52.7616999863149,1790.15215218494,,,25.6806197518206,19.1002564578601,66.3703725724867,14.7118220115025,2.11387767169242,5.54566018453833,,,5.58106166197523,239.600173858441,16.0653540917992,41.7403455363499,0.54276736886452,2.23358291427698,,,,0.383010135501659,< 0.6,0.0556564283756724,1.44247262007356,4.00412603908155,,,0.0824707851658927,123.71466329188,1.28402831055483,3.24864980674997,0.624793129728443,3.05276984364969,1.42633268747475,0.716447831676186,1.93532002687424,0.405742328126531,2.54162216546467,0.604194751481041,1.90181122883134,0.282951741708383,2.11126215415986,0.369587799879344,3.35710344379942,0.0243865753799706,,,,,,,,,<1.5,<0.1,0.152905450498142,0.101073364958287,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,243.0,Clark-2014-PNAS_243(b),ARTEFACT,,TONGA,TONGATAPU,FAFA ISLAND,NORTH BEACH,-21.087409,-175.158647,<10,,,Clark-2014-PNAS,T7-POWDER-CLARK,FLAKE,NA,,G CLARK,SURVEY,,,,Clark-2014-PNAS,FAFA ISLAND,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,3.90549865964663,,,,,,,,,,,,54515.0121465376,17.2748657895171,26569.7865344274,201.972647673481,21.5547433420323,1686.20028961111,,,22.5575395753839,44.220619089403,142.227585434571,28.5890106833566,2.91573546799428,2.10828535658791,,,45.7110896745639,719.95453144957,51.9110829372651,465.268957476024,59.3686244139855,5.28120764903896,,,,0.261850698171098,< 0.5,0.60713209952989,111.826504005323,3.82473742077131,,,0.346863118512036,349.921120038977,45.0327747420653,99.0907454811012,13.5730852758829,63.7493652244841,14.010877486538,4.74936690827051,14.3429411503176,2.01288362262131,11.4798167346907,2.02576725849386,5.29911775284309,0.706297191263298,4.0559137905847,0.577140393652477,12.0958489536146,1.67383598123254,,,,,,,,,3.18278880148633,< 0.06,4.21404036289321,1.39243736051791,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,244.0,Clark-2014-PNAS_244(b),ARTEFACT,,TONGA,TONGATAPU,LAPAHA,J20,-21.179897,-175.112419,<10,,,Clark-2014-PNAS,T8-POWDER-CLARK,ADZE FLAKE,NA,,G CLARK,EXCAVATION,,,,Clark-2014-PNAS,LAPAHA,,,,"TP4, 74CM",,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,0.477135466438033,,,,,,,,,,,,58297.5370645642,49.4821658746959,6250.04134481716,470.837490409424,19.1490676588064,1781.9044440462,,,14.6959792217895,14.4008970861616,81.3446140387793,13.2783892774253,2.28102318315647,3.78037469303778,,,7.02322741368396,180.931052915132,15.8275762670126,32.5091307639798,0.362534046343727,2.88218157003461,,,,0.388837233167419,< 0.3,0.0642230113941601,1.32637411672108,3.5531304145749,,,0.116151848245051,185.329138993624,1.0325846296269,2.11440009102551,0.424099419174978,2.61594176297266,1.28948054792351,0.607197311583722,1.68844907875165,0.343373642785919,2.64746991002069,0.575256740363658,1.98667928032713,0.310482068761958,2.38308934868345,0.392863828622872,2.87818198210053,0.0300598285706049,,,,,,,,,1.83041462378719,< 0.06,0.172126129069001,0.170063146719732,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,245.0,Clark-2014-PNAS_245(b),ARTEFACT,,TONGA,TONGATAPU,NUKULEKA,TO2,-21.154458,-175.12541,<10,,,Clark-2014-PNAS,TO2-38-POULSEN,ADZE,NA,,,EXCAVATION,,,,Clark-2014-PNAS,NUKULEKA,,,,ZONE II TOP,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,27800.8,23.0808,5707.66,40.828,-0.3717,1530.814,,,0.4366,29.2522,129.9888,15.7058,,4.7967,,,45.5716,228.094,40.061,159.9136,2.88746,2.29982,,,,,,,0.12036,,,,1.32396,680.978,12.7499,29.87406,4.29874,21.1574,5.99912,1.475,6.38498,1.020818,7.07174,1.4868,4.4899,0.676022,4.69404,0.691126,4.30936,0.168622,,,,,,,,,6.67526,,1.85968,0.845706,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,250.0,Clark-2014-PNAS_250(b),ARTEFACT,,TONGA,TONGATAPU,TO6,TUFU MAHINA,-21.162438,-175.228952,<10,,,Clark-2014-PNAS,TO6-109-POULSEN,ADZE,NA,,POULSEN,EXCAVATION,,,,Poulsen-1987-Tonga,TO6,,,,"HORIZON III BOTTOM, LAYER 3",,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,63957.6,23.47632,21319.2,185.976,0.153216,1852.704,,,0.762048,5.01984,248.0688,27.84096,,1.504944,,,37.296,682.3152,55.34928,447.552,55.3392,2.6208,,,,,,,2.98368,,,,0.291312,326.3904,47.628,109.872,14.65632,68.80608,16.72272,4.3092,15.21072,2.148048,12.67056,2.218608,5.502672,0.702576,4.22352,0.543312,10.25136,3.49776,,,,,,,,,3.28104,,6.07824,1.423296,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,633.0,Clark-2014-PNAS_633(b),SOURCE,,_'UVEA,_'UVEA,LUTUNUPULE,,-13.247164,-176.178681,,,,Clark-2014-PNAS,UVEA_ALE_LUTUNIPULE-CLARK,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,LUTUNUPULE,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,75803.2,27.5648,8099.52,209.568,355.888,1421.664,,,339.84,50.6928,104.312,15.46272,,0.606992,,,24.90272,416.304,17.00144,102.5184,16.52,0.408752,,,,,,,-0.680624,,,,0.1481136,538.08,10.28016,23.7888,3.19072,15.18896,3.81376,1.264016,3.89872,0.574896,3.67216,0.69384,1.799264,0.243552,1.593472,0.2238224,2.81312,1.19888,,,,,,,,,1.273456,,1.2508,0.30208,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,634.0,Clark-2014-PNAS_634(b),SOURCE,,_'UVEA,_'UVEA,NUKUFETAU,,-13.357828,-176.193247,,,,Clark-2014-PNAS,UVEA_NUK_SW-CLARK,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,NUKUFETAU,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,79337.2,32.1976,19376.4,319.084,645.88,1918.36,,,514.776,68.5404,198.584,19.28,,1.054616,,,20.3404,380.78,22.3648,193.764,24.582,1.3496,,,,,,,-0.17352,,,,0.294984,210.2484,18.4124,40.97,5.29236,24.3892,6.23708,1.86052,6.01536,0.850248,5.17668,0.893628,2.25576,0.290164,1.777616,0.24582,5.19596,1.72556,,,,,,,,,1.91836,,2.38108,0.541768,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,637.0,Clark-2014-PNAS_637(b),SOURCE,,_'UVEA,_'UVEA,NUKUFETAU,,-13.357706,-176.193602,,,,Clark-2014-PNAS,UVEA-NUK_NBEACH-CLARK,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,NUKUFETAU,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,85352.0,33.3042,24317.8,326.18,369.42,1385.56,,,333.7,115.056,142.128,25.192,,5.8938,,,34.498,431.366,28.2752,282.846,40.138,1.927,,,,,,,1.7484,,,,3.3088,270.626,25.004,57.81,7.097,32.524,7.99,2.397,7.5388,1.09604,6.2886,1.10732,2.72506,0.355602,2.09244,0.282846,7.0406,2.66208,,,,,,,,,3.666,,3.33982,1.0481,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,638.0,Clark-2014-PNAS_638(b),SOURCE,,_'UVEA,_'UVEA,NUKUFETAU,,-13.357706,-176.193602,,,,Clark-2014-PNAS,UVEA-NUK_TOP-CLARK,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,NUKUFETAU,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,70531.2,29.6608,19244.8,249.984,360.096,1884.8,,,483.104,76.9792,195.424,20.81216,,0.89776,,,17.1616,355.136,20.336,292.64,29.8592,1.02672,,,,,,,0.13888,,,,1.67648,187.488,15.6736,33.5296,4.57312,20.5344,5.33696,1.72608,5.19808,0.776736,4.64256,0.832288,2.11296,0.299584,1.781632,0.261888,7.30112,2.10304,,,,,,,,,2.7776,,2.54944,0.599168,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,639.0,Clark-2014-PNAS_639(b),SOURCE,,_'UVEA,_'UVEA,KOLONUI,,-13.336697,-176.208767,,,,Clark-2014-PNAS,UVEA-TAL-KOLONUI-CLARK,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,KOLONUI,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,53410.0,37.73,24323.6,358.68,313.6,1728.72,,,230.3,100.842,207.76,37.1714,,1.17208,,,3.577,56.644,27.783,378.28,34.104,1.30928,,,,,,,3.4398,,,,0.092022,55.076,11.9168,34.6136,4.361,20.972,6.1642,2.08838,6.2426,1.01332,6.3112,1.15836,3.10072,0.44688,2.71558,0.39592,9.2806,2.47058,,,,,,,,,4.1944,,2.19716,0.79674,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,663.0,Clark-2014-PNAS_663(b),ARTEFACT,,SAMOA,SAVAI'I,PULEMELEI,MOUND,-13.735281,-172.324397,200.0,,,Clark-2014-PNAS,SAMOA_PULEMELEI_PLATFORM,NATURAL PEBBLE,NA,,,SURVEY,,,,Clark-2014-PNAS,PULEMELEI,,,,NA,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,51550.4,26.5024,14075.36,202.808,212.504,800.728,,,164.024,99.9496,162.408,25.23384,,1.01,,,36.4408,164.024,21.0888,365.216,44.44,0.980912,,,,,,,2.03616,,,,0.248864,241.592,21.6544,42.9856,5.92264,25.5328,5.68024,1.521464,5.14696,0.749016,4.53288,0.853248,2.191296,0.32724,1.9796,0.294112,8.58904,3.05424,,,,,,,,,4.78336,,3.3936,0.98576,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,665.0,Clark-2014-PNAS_665(b),ARTEFACT,,SAMOA,SAVAI'I,PULEMELEI,MOUND,-13.735281,-172.324397,200.0,,,Clark-2014-PNAS,SAMOA_PULEMELEI_PLATFORM_PAVING,PAVING STONE,NA,,,EXCAVATION,,,,Clark-2014-PNAS,PULEMELEI,,,,NA,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,39479.6,24.6404,15938.4,250.068,226.252,1687.272,,,842.72,98.3784,186.864,22.9916,,0.806996,,,10.6256,112.668,17.1292,335.256,22.9,0.91142,,,,,,,19.7856,,,,0.162132,230.832,7.88676,21.8008,2.7938,13.5568,3.72812,1.13584,3.86552,0.598148,3.72812,0.683336,1.8778,0.266556,1.59384,0.245488,8.0608,1.84116,,,,,,,,,6.2288,,1.2366,0.428688,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,666.0,Clark-2014-PNAS_666(b),ARTEFACT,,SAMOA,SAVAI'I,PULEMELEI,MOUND,-13.735281,-172.324397,200.0,,,Clark-2014-PNAS,SAMOA_PULEMELEI_PLATFORM_PAVING_60CM_1,PAVING STONE,NA,,,EXCAVATION,,,,Clark-2014-PNAS,PULEMELEI,,,,NA,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,58708.8,17.70012,20013.48,188.6652,133.2612,1408.428,,,286.74,32.3676,179.6256,25.25256,,1.79334,,,62.0136,519.048,25.57332,400.464,78.4404,1.9926,,,,,,,1.29276,,,,1.13724,464.616,41.5044,83.4948,9.84636,40.9212,8.85492,2.474712,7.42608,1.023516,5.7834,0.978804,2.414448,0.312984,1.805004,0.246888,8.92296,5.42376,,,,,,,,,5.99724,,6.43464,1.440504,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,667.0,Clark-2014-PNAS_667(b),ARTEFACT,,SAMOA,SAVAI'I,PULEMELEI,MOUND,-13.735281,-172.324397,200.0,,,Clark-2014-PNAS,SAMOA_PULEMELEI_PLATFORM_PAVING_60CM_2,PAVING STONE,NA,,,EXCAVATION,,,,Clark-2014-PNAS,PULEMELEI,,,,NA,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,65744.8,21.931,19067.92,201.6688,233.288,1317.788,,,215.936,50.7064,161.5664,25.63276,,1.613736,,,67.1908,601.536,28.60188,456.936,80.1084,1.60988,,,,,,,3.00768,,,,0.57358,411.628,42.9944,86.6636,10.4112,44.6332,9.36044,2.555564,8.26148,1.120168,6.51664,1.117276,2.674136,0.353788,2.110196,0.321012,10.99924,5.62012,,,,,,,,,6.28528,,7.35532,1.766048,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,669.0,Clark-2014-PNAS_669(b),SOURCE,,SAMOA,SAVAI'I,LETUI,,-13.475953,-172.461208,,,,Clark-2014-PNAS,SAMOA_SAVAII_LETUI_5,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,LETUI,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,98945.6,35.8048,20796.8,323.744,366.624,1068.784,,,70.0016,68.072,89.1904,27.604,,1.67232,,,43.5232,490.976,30.4448,458.816,55.1008,1.26496,,,,,,,3.82704,,,,0.280864,353.76,33.0176,71.3952,8.43664,36.8768,8.59744,2.55136,7.86848,1.126672,6.8072,1.207072,3.03376,0.429872,2.59424,0.35912,10.83792,4.05216,,,,,,,,,5.6816,,5.4672,1.56512,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,670.0,Clark-2014-PNAS_670(b),SOURCE,,SAMOA,SAVAI'I,MATAVA,,-13.52725,-172.397628,,,,Clark-2014-PNAS,SAMOA_SAVAII_MATAVA,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,MATAVA,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,60271.12,21.0868,20220.48,160.6976,-0.05712,1587.936,,,2.02776,8.568,240.2848,28.54096,,1.527008,,,30.3688,642.3144,59.50952,425.544,55.0256,2.13248,,,,,,,-0.03808,,,,0.159936,270.6536,50.80824,117.8576,15.78416,73.3992,18.00232,4.449648,16.59336,2.271472,13.60408,2.362864,5.871936,0.745416,4.535328,0.595,10.30064,3.39864,,,,,,,,,4.20784,,5.74056,1.078616,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,674.0,Clark-2014-PNAS_674(b),SOURCE,,SAMOA,SAVAI'I,NA,ROADSIDE,-13.519203,-172.263081,<10,,,Clark-2014-PNAS,SAMOA_SAVAII_ROADSIDE_3,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,ROADSIDE,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,82406.4,29.4176,21789.44,270.4192,426.88,1455.104,,,266.336,60.2272,155.8112,21.87296,,1.28528,,,32.2016,560.512,29.54752,312.736,49.3696,1.779904,,,,,,,0.34336,,,,0.340576,418.528,43.5232,89.3664,10.87616,47.5136,10.3008,2.90464,8.89024,1.218464,6.95072,1.172992,2.871232,0.364704,2.15296,0.2829472,7.5632,3.19232,,,,,,,,,4.7792,,4.89984,1.066272,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,675.0,Clark-2014-PNAS_675(b),SOURCE,,SAMOA,SAVAI'I,SILI,,-13.756058,-172.378134,,,,Clark-2014-PNAS,SAMOA_SAVAII_SILI,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,SILI,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,71577.6,26.58996,20205.76,229.4584,113.4244,1094.168,,,61.8848,80.3384,118.6436,23.2534,,2.2368,,,58.5296,577.84,34.1578,1537.8,61.6052,3.79324,,,,,,,4.194,,,,0.854644,429.3724,49.46124,94.4116,11.42632,47.04736,10.1588,2.983332,8.9006,1.381224,7.46532,1.480016,3.728,0.653332,3.64412,0.681292,32.5268,5.16328,,,,,,,,,9.23612,,7.39076,2.36728,,,,,,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS,676.0,Clark-2014-PNAS_676(b),SOURCE,,SAMOA,SAVAI'I,VAI'A'ATA,,-13.621758,-172.262075,,,,Clark-2014-PNAS,SAMOA_SAVAII_VIAATA_ROAD_7,GEOLOGICAL,NA,,,SURVEY,,,,Clark-2014-PNAS,VAI'A'ATA,,,,SURFACE,,Whole rock,Core sample,Core samples were diamond cut and diamond polished,,,Clark-2014-PNAS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,70006.8,25.878,25060.8,300.548,491.228,1543.6,,,562.96,58.112,134.9288,18.3416,,1.12592,,,36.1384,261.504,20.1576,256.056,52.664,0.88076,,,,,,,1.97944,,,,0.330512,187.956,18.7956,42.4036,5.77488,27.8756,6.74644,1.73428,6.00188,0.814476,4.70344,0.802672,1.9522,0.2497,1.48912,0.188864,6.61932,3.9498,,,,,,,,,1.61624,,1.94312,0.427668,,,,,,,,,,,,,,,,,,,,,,,
